faixa,intervalo_segundos,hora_decimal
2,148.32,18.19
1,122.78,7.95
1,67.67,13.72
1,107.59,16.22
1,69.03,12.98
2,189.98,20.12
1,100.18,14.03
2,235.83,14.86
2,100.97,13.17
2,78.26,17.44
1,196.01,10.86
1,83.04,13.58
1,173.82,16.14
1,158.03,18.57
2,196.65,16.55
1,136.71,11.12
1,144.14,9.24
2,228.11,13.9
2,112.9,11.91
2,77.71,12.86
2,94.27,20.11
1,91.49,7.96
1,85.01,12.36
1,113.62,8.92
1,183.8,18.83
2,166.29,15.54
2,204.27,18.02
1,237.62,8.72
1,140.2,14.12
1,133.67,9.8
2,66.96,18.16
2,106.25,7.17
2,187.04,20.07
2,192.86,20.94
1,78.73,19.39
2,230.36,9.79
1,217.92,7.83
2,176.06,16.54
1,147.92,13.6
1,176.34,8.9
2,114.4,15.78
2,154.3,20.64
2,210.61,9.78
1,141.18,7.66
2,134.23,13.86
1,232.2,9.9
1,187.08,21.21
1,159.04,12.76
2,151.96,21.67
1,80.22,17.35
1,118.14,6.81
2,68.16,9.53
2,201.24,13.73
2,204.22,21.15
2,132.99,14.5
2,238.19,10.88
2,155.67,10.11
1,87.9,7.03
2,145.27,12.29
2,214.9,15.02
1,158.36,20.06
1,170.04,10.49
1,91.53,20.16
1,98.96,10.49
1,204.91,11.39
1,198.53,9.67
2,202.48,7.21
1,113.54,11.16
1,178.64,6.62
2,81.67,21.05
2,222.9,19.61
2,184.22,12.97
1,169.01,19.38
1,204.97,6.61
2,120.36,17.22
2,107.18,18.88
2,191.41,15.21
1,69.1,15.41
1,95.16,7.49
1,198.46,16.82
1,168.59,21.45
1,196.39,16.06
2,114.6,10.07
1,219.3,15.47
1,122.48,17.48
2,122.18,8.45
2,181.09,14.66
1,110.35,6.62
2,133.48,17.16
2,205.04,7.22
1,119.27,18.92
1,93.85,6.88
2,167.07,17.32
2,188.42,20.99
1,78.88,18.2
1,155.69,20.48
2,182.05,20.99
1,77.26,15.61
1,79.61,10.62
1,207.12,9.21
2,104.21,13.85
2,97.13,17.05
1,142.93,17.19
1,121.0,11.08
2,75.68,10.43
1,78.75,6.44
2,129.43,19.91
1,159.12,13.13
1,160.4,15.64
1,162.61,19.83
2,219.26,9.66
1,96.31,9.37
1,203.26,13.04
2,137.45,10.38
1,155.43,20.68
1,216.66,9.87
1,222.88,14.24
1,209.18,18.77
2,100.96,6.41
